zcrtname,zstate1,zcity3,推理,省,市,地区
China,guangdong,pingdi,guangdong指广东，无需修改。pingdi指广东的坪地街道，属于深圳市，返回shenzhen。将原输入市pingdi填充到地区。,guangdong,shenzhen,pingdi
China,guangdong,zengcheng district,guangdong指广东，无需修改。zengcheng district指广东的增城区，属于广州市，返回guangzhou。将原输入市zengcheng district填充到地区。,guangdong,guangzhou,zengcheng district
China,shanghai,dachangzhen,shanghai是上海的英文，符合格式无需修改。dachangzhen指上海的大场镇，属于宝山区，返回baoshan。将原输入市dachangzhen填充到地区。,shanghai,baoshan,dachangzhen
China,guizhou,shixizhen,guizhou是贵州的英文，符合格式无需修改。shixizhen指贵州的石溪镇，但没有明确属于哪个市，无法确定具体地级市，返回null。将原输入市shixizhen填充到地区。,guizhou,null,shixizhen
China,beijing,tianzhu,beijing是北京的英文，符合格式无需修改。tianzhu指北京的天竺镇，属于顺义区，返回shunyi。将原输入市tianzhu填充到地区。,beijing,shunyi,tianzhu
China,zhejiang,sandunzhen,zhejiang是浙江的英文，符合格式无需修改。sandunzhen指浙江的三墩镇，属于杭州市，返回hangzhou。将原输入市sandunzhen填充到地区。,zhejiang,hangzhou,sandunzhen
China,hebei,haigang district,hebei是河北的英文，符合格式无需修改。haigang district指河北的海港区，属于秦皇岛市，返回qinhuangdao。将原输入市haigang district填充到地区。,hebei,qinhuangdao,haigang district
China,xinjiang uygur,tianshan district,xinjiang uygur是新疆维吾尔自治区的英文，符合格式无需修改。tianshan district指新疆维吾尔自治区的天山区，属于乌鲁木齐市，返回wulumuqi。将原输入市tianshan district填充到地区。,xinjiang uygur,wulumuqi,tianshan district
China,jiangsu,tianning district,jiangsu是江苏的英文，符合格式无需修改。tianning district指江苏的天宁区，属于常州市，返回changzhou。将原输入市tianning district填充到地区。,jiangsu,changzhou,tianning district
China,guangdong,shunde qu,guangdong指广东，无需修改。shunde qu指广东的顺德区，属于佛山市，返回foshan。将原输入市shunde qu填充到地区。,guangdong,foshan,shunde qu
China,yunnan,jinghong,yunnan是云南的英文，符合格式无需修改。jinghong指云南的景洪市，景洪是县级市，所属地级市为西双版纳傣族自治州，返回xishuangbanna dai zu zizhizhou。将原输入市jinghong填充到地区。,yunnan,xishuangbanna dai zu zizhizhou,jinghong
China,inner mongolia,bayan hot,inner mongolia指内蒙古，无需修改。bayan hot指内蒙古的巴彦淖尔市，巴彦淖尔是地级市，无需修改。输入没有提供地区名，填充为null。,inner mongolia,bayan hot,null
China,yunnan,longyang district,yunnan是云南的英文，符合格式无需修改。longyang district指云南的隆阳区，属于保山市，返回baoshan。将原输入市longyang district填充到地区。,yunnan,baoshan,longyang district
China,sichuan,guanghan,sichuan是四川的英文，符合格式无需修改。guanghan指四川的广汉市，广汉是县级市，所属地级市为德阳市，返回deyang。将原输入市guanghan填充到地区。,sichuan,deyang,guanghan
China,henan,yichuan,henan是河南的英文，符合格式无需修改。yichuan指河南的伊川县，属于洛阳市，返回luoyang。将原输入市yichuan填充到地区。,henan,luoyang,yichuan
China,guangdong,chancheng district,guangdong指广东，无需修改。chancheng district指广东的禅城区，属于佛山市，返回foshan。将原输入市chancheng district填充到地区。,guangdong,foshan,chancheng district
China,sichuan,jingyang district,sichuan是四川的英文，符合格式无需修改。jingyang district指四川的旌阳区，属于德阳市，返回deyang。将原输入市jingyang district填充到地区。,sichuan,deyang,jingyang district
